ID_global,ID_colleccion,Name_Collecion,Link
53000,000,Postura,https://www.tiktok.com/@kleijn_/video/7237197684786957594
53001,001,Postura,https://www.tiktok.com/@yogui_dan/video/7252134119298059525
53002,002,Postura,https://www.tiktok.com/@pinedet/video/6894580597344259329
53003,003,Postura,https://www.tiktok.com/@coach.eli/video/7156821619741166890
53004,004,Postura,https://www.tiktok.com/@yogui_dan/video/7101448833539869958
53005,005,Postura,https://www.tiktok.com/@ft_daniflorez/video/7104499178067217670
53006,006,Postura,https://www.tiktok.com/@pilatesmarcelapedraza/video/7099045037811485957
53007,007,Postura,https://www.tiktok.com/@rominagafur/video/6951189464181951749
53008,008,Postura,https://www.tiktok.com/@quiropractico/video/7036051613177482501
53009,009,Postura,https://www.tiktok.com/@aprilestephania/video/7032426381543804165
53010,010,Postura,https://www.tiktok.com/@desoxidate/video/6995349896240860422
53011,011,Postura,https://www.tiktok.com/@segio.fisioterapia/video/6920728688564669701
