ID_global,ID_colleccion,Name_Collecion,Link
41000,000,Laboral,https://www.tiktok.com/@tylermars666/video/7223458549874085126
41001,001,Laboral,https://www.tiktok.com/@naekmejia/video/7252540963992767770
41002,002,Laboral,https://www.tiktok.com/@ojimenezr/video/7247680502939897093
41003,003,Laboral,https://www.tiktok.com/@silvia_orientadora/video/7247611061115915546
41004,004,Laboral,https://www.tiktok.com/@randstad_espana/video/7244558194700291355
41005,005,Laboral,https://www.tiktok.com/@adri.zip/video/7250535178894839067
41006,006,Laboral,https://www.tiktok.com/@itzazujuy/video/7243869343954586886
41007,007,Laboral,https://www.tiktok.com/@didibreday/video/7241952012965907717
41008,008,Laboral,https://www.tiktok.com/@laamateur/video/7239068490240363781
41009,009,Laboral,https://www.tiktok.com/@itslondi/video/7226932884047711494
41010,010,Laboral,https://www.tiktok.com/@devcaress/video/7226202902422015238
41011,011,Laboral,https://www.tiktok.com/@vivimontoyaruiz/video/7227865923686780187
41012,012,Laboral,https://www.tiktok.com/@tu.poderpersonal/video/7234524634253757701
41013,013,Laboral,https://www.tiktok.com/@fiorepinzon/video/7230162655540022534
41014,014,Laboral,https://www.tiktok.com/@vivimontoyaruiz/video/7237476434443390235
41015,015,Laboral,https://www.tiktok.com/@itslondi/video/7226786157428886789
41016,016,Laboral,https://www.tiktok.com/@adrinavid/video/7171648814468599045
41017,017,Laboral,https://www.tiktok.com/@mari.rfuentes/video/7233104390805032219
41018,018,Laboral,https://www.tiktok.com/@compucuantrix/video/7230605272891280646
41019,019,Laboral,https://www.tiktok.com/@elrincondeldev/video/7227179810194328858
41020,020,Laboral,https://www.tiktok.com/@naekmejia/video/7225431094261222682
41021,021,Laboral,https://www.tiktok.com/@tmapp_jobs/video/7226506005218102533
41022,022,Laboral,https://www.tiktok.com/@jerryjhlee/video/7206813718804434218
41023,023,Laboral,https://www.tiktok.com/@dm_garces/video/7192239812609314054
41024,024,Laboral,https://www.tiktok.com/@pablochalakani/video/7178281177499929861
41025,025,Laboral,https://www.tiktok.com/@quierocvup/video/7176496890471632134
41026,026,Laboral,https://www.tiktok.com/@psicolo.olga/video/7010492961439960326
41027,027,Laboral,https://www.tiktok.com/@adri.zip/video/7071604997192027398
41028,028,Laboral,https://www.tiktok.com/@adri.zip/video/7106948820910492933
41029,029,Laboral,https://www.tiktok.com/@adrinavid/video/7096288300511628549
41030,030,Laboral,https://www.tiktok.com/@sandraparmo/video/7153672412976975110
41031,031,Laboral,https://www.tiktok.com/@alejo.jobs/video/7165156469229243653
41032,032,Laboral,https://www.tiktok.com/@alek.cb/video/7159208932232252677
41033,033,Laboral,https://www.tiktok.com/@sara.bayonam/video/7124669462384561413
41034,034,Laboral,https://www.tiktok.com/@laednajobs/video/7109579523020131589
41035,035,Laboral,https://www.tiktok.com/@adri.zip/video/7121400537743969541
