ID_global,ID_colleccion,Name_Collecion,Link
17000,000,Me gusta,https://www.tiktok.com/@nikoevansmusic/video/6846040812044782853
17001,001,Me gusta,https://www.tiktok.com/@jmsossimo/video/7128147371355082026
17002,002,Me gusta,https://www.tiktok.com/@davidelguardian/video/7179717749776583941
17003,003,Me gusta,https://www.tiktok.com/@tech.unicorn/video/7190411908212673798
17004,004,Me gusta,https://www.tiktok.com/@santiago_arango21/video/7018658115734359301
17005,005,Me gusta,https://www.tiktok.com/@ocean.vicky/video/6951056060744584453
17006,006,Me gusta,https://www.tiktok.com/@danielvillegas29/video/7247819348687981850
17007,007,Me gusta,https://www.tiktok.com/@miguelsbuenol/video/7237619675591380230
17008,008,Me gusta,https://www.tiktok.com/@crazypoker2/video/7244795814327881002
17009,009,Me gusta,https://www.tiktok.com/@promosykaria/video/7226795993675648261
17010,010,Me gusta,https://www.tiktok.com/@sofaltuna/video/6835707600114289925
17011,011,Me gusta,https://www.tiktok.com/@puzzlesbynathan/video/6857499544146513158
17012,012,Me gusta,https://www.tiktok.com/@shammiltd/video/7006211661392612610
17013,013,Me gusta,https://www.tiktok.com/@shammiltd/video/7040763278565461250
17014,014,Me gusta,https://www.tiktok.com/@isaaclasoruiz/video/7118052955365838085
17015,015,Me gusta,https://www.tiktok.com/@miasvendby/video/7110719930894454022
17016,016,Me gusta,https://www.tiktok.com/@itsboycam/video/6981872919760653574
17017,017,Me gusta,https://www.tiktok.com/@nattalt/video/6907693509826891013
17018,018,Me gusta,https://www.tiktok.com/@leslierojasaraya/video/6846172021634731269
17019,019,Me gusta,https://www.tiktok.com/@bithapi/video/6912873263068712197
17020,020,Me gusta,https://www.tiktok.com/@isabelariverav/video/7124083587334278405
17021,021,Me gusta,https://www.tiktok.com/@o.pilot/video/7199803816999439622
17022,022,Me gusta,https://www.tiktok.com/@dillion.muse/video/7186496021822770474
17023,023,Me gusta,https://www.tiktok.com/@katyjuann/video/7145690119822003461
17024,024,Me gusta,https://www.tiktok.com/@glamour_missjp/video/7134358800076754182
17025,025,Me gusta,https://www.tiktok.com/@thegreencar_oficial/video/7102107726972603653
17026,026,Me gusta,https://www.tiktok.com/@j35u5bz/video/7120052162046037253
17027,027,Me gusta,https://www.tiktok.com/@dawgmemes/video/7096277597339782405
17028,028,Me gusta,https://www.tiktok.com/@mejiashd/video/7085774380004887813
17029,029,Me gusta,https://www.tiktok.com/@trompetahispana/video/7013808737722830085
17030,030,Me gusta,https://www.tiktok.com/@blueposnow/video/6959305778939317509
17031,031,Me gusta,https://www.tiktok.com/@itspapibri/video/6929009576457161990
