ID_global,ID_colleccion,Name_Collecion,Link
29000,000,Amor en pareja,https://www.tiktok.com/@neuronasdelcorazon/video/7180334583576120582
29001,001,Amor en pareja,https://www.tiktok.com/@faridieck/video/7202045048203119877
29002,002,Amor en pareja,https://www.tiktok.com/@medialuncita/video/7194468343389130030
29003,003,Amor en pareja,https://www.tiktok.com/@emprendedormoderno/video/7189934800692694315
29004,004,Amor en pareja,https://www.tiktok.com/@emprendedormoderno/video/6998934245276208389
29005,005,Amor en pareja,https://www.tiktok.com/@alealvarezpsi/video/7170146556090256646
29006,006,Amor en pareja,https://www.tiktok.com/@simplemente_grp/video/6985287936711429381
29007,007,Amor en pareja,https://www.tiktok.com/@amemoseticamente/video/7108696111694597382
29008,008,Amor en pareja,https://www.tiktok.com/@emprendedormoderno/video/7127746302615588142
29009,009,Amor en pareja,https://www.tiktok.com/@cesartorres.co/video/7112464170892659973
29010,010,Amor en pareja,https://www.tiktok.com/@iraagg/video/7122141230548520198
29011,011,Amor en pareja,https://www.tiktok.com/@gianlucaperottimusica/video/7109254815275814150
29012,012,Amor en pareja,https://www.tiktok.com/@divandedudas/video/7119097327813479686
29013,013,Amor en pareja,https://www.tiktok.com/@davemich7/video/7107754164951747846
29014,014,Amor en pareja,https://www.tiktok.com/@emprendedormoderno/video/7105787444519406894
29015,015,Amor en pareja,https://www.tiktok.com/@joaquintonero/video/6984945112589634822
29016,016,Amor en pareja,https://www.tiktok.com/@amemoseticamente/video/6984423210083241222
29017,017,Amor en pareja,https://www.tiktok.com/@amemoseticamente/video/7034521206879522054
29018,018,Amor en pareja,https://www.tiktok.com/@amemoseticamente/video/7012464107467099397
29019,019,Amor en pareja,https://www.tiktok.com/@jonaselmarin/video/6939524650539977989
29020,020,Amor en pareja,https://www.tiktok.com/@dra.josefagonzalez/video/6978966941184707845
