ID_global,ID_colleccion,Name_Collecion,Link
47000,000,idiomas,https://www.tiktok.com/@ana_gvillanueva/video/7255880042083880197
47001,001,idiomas,https://www.tiktok.com/@salmachavana/video/7241414196955581702
47002,002,idiomas,https://www.tiktok.com/@wysepodcast/video/7217458053891804442
47003,003,idiomas,https://www.tiktok.com/@latamenglish1/video/7227955398064524550
47004,004,idiomas,https://www.tiktok.com/@lessonoftheweek/video/7245699205572939013
47005,005,idiomas,https://www.tiktok.com/@carolinakowanz/video/7228201847985573126
47006,006,idiomas,https://www.tiktok.com/@polygloteenn/video/7232061063313837318
47007,007,idiomas,https://www.tiktok.com/@xataka/video/7226789290729164058
47008,008,idiomas,https://www.tiktok.com/@ourenglishjourney/video/7194160243817991430
47009,009,idiomas,https://www.tiktok.com/@camilaloaiza25/video/7176833290521873669
47010,010,idiomas,https://www.tiktok.com/@holasoy.natasha/video/7160508608654920966
47011,011,idiomas,https://www.tiktok.com/@mariotothemaxxx/video/7141744094379887878
47012,012,idiomas,https://www.tiktok.com/@englishwithrhys/video/7123229102860946715
47013,013,idiomas,https://www.tiktok.com/@elprofesorhernan/video/7122791834811763973
47014,014,idiomas,https://www.tiktok.com/@_srta_paris/video/7086463097854004485
47015,015,idiomas,https://www.tiktok.com/@gabriela.galmos/video/7086620133300456710
47016,016,idiomas,https://www.tiktok.com/@deutscheszentrum/video/7081606789191437573
47017,017,idiomas,https://www.tiktok.com/@ohlalaginette/video/7078492890795756805
47018,018,idiomas,https://www.tiktok.com/@ohlalaginette/video/7077739687409995013
47019,019,idiomas,https://www.tiktok.com/@alienor.escartin/video/7069512094722379014
47020,020,idiomas,https://www.tiktok.com/@tren_del_idioma/video/6956349313454705926
47021,021,idiomas,https://www.tiktok.com/@sabrinalalatina/video/6850460732786527493
47022,022,idiomas,https://www.tiktok.com/@alienor.escartin/video/7063505728425774342
