ID_global,ID_colleccion,Name_Collecion,Link
45000,000,Emprender,https://www.tiktok.com/@kikejurado_/video/7205290557239774470
45001,001,Emprender,https://www.tiktok.com/@eider.digital/video/7204424092299169029
45002,002,Emprender,https://www.tiktok.com/@desocupe_masivo/video/7190047341691424006
45003,003,Emprender,https://www.tiktok.com/@rennyfloresking/video/7164191480595172614
45004,004,Emprender,https://www.tiktok.com/@elpiratagg/video/7223540031590354202
45005,005,Emprender,https://www.tiktok.com/@juve3dstudio/video/7206070205750004997
45006,006,Emprender,https://www.tiktok.com/@vazkbet_/video/7210094602819308806
45007,007,Emprender,https://www.tiktok.com/@bernardofagot/video/7163781919803591942
45008,008,Emprender,https://www.tiktok.com/@bernardofagot/video/7230502259874958597
45009,009,Emprender,https://www.tiktok.com/@bernardofagot/video/7230224889469357318
45010,010,Emprender,https://www.tiktok.com/@bernardofagot/video/7230834323912445189
45011,011,Emprender,https://www.tiktok.com/@bernardofagot/video/7230622847104797958
45012,012,Emprender,https://www.tiktok.com/@bernardofagot/video/7229461544348765445
45013,013,Emprender,https://www.tiktok.com/@invertirconcabeza/video/7224913910648851738
45014,014,Emprender,https://www.tiktok.com/@juanvelasquezp/video/7231555064421338373
45015,015,Emprender,https://www.tiktok.com/@bernardofagot/video/7233097942054227205
45016,016,Emprender,https://www.tiktok.com/@bernardofagot/video/7231633950404365573
45017,017,Emprender,https://www.tiktok.com/@frankmoreno_/video/7167087553475104005
45018,018,Emprender,https://www.tiktok.com/@diegoquiroztiktok/video/7185229852885241094
45019,019,Emprender,https://www.tiktok.com/@shawnryanshow/video/7179325083939310890
45020,020,Emprender,https://www.tiktok.com/@cortesvictorh/video/7173861037781929222
45021,021,Emprender,https://www.tiktok.com/@jhonatanolms/video/7184505935916797190
45022,022,Emprender,https://www.tiktok.com/@paugarciamila/video/7152800546989149445
45023,023,Emprender,https://www.tiktok.com/@entenderpararesolver/video/7161578258197155078
45024,024,Emprender,https://www.tiktok.com/@woker.academy/video/7163784057862802734
45025,025,Emprender,https://www.tiktok.com/@osvaldomktdigital/video/7140442493090352389
45026,026,Emprender,https://www.tiktok.com/@margaritapasos/video/7164131314126556462
45027,027,Emprender,https://www.tiktok.com/@victorherasemprendedor/video/7159278735982660870
45028,028,Emprender,https://www.tiktok.com/@javiermartinezrenedo/video/7155174432342953222
45029,029,Emprender,https://www.tiktok.com/@margaritapasos/video/7138567539721915691
45030,030,Emprender,https://www.tiktok.com/@happpyschool/video/7132508546255703301
45031,031,Emprender,https://www.tiktok.com/@ecommerce_businessclub/video/7094313521936223494
