ID_global,ID_colleccion,Name_Collecion,Link
42000,000,Handstand,https://www.tiktok.com/@maria.pash/video/6870111876467002625
42001,001,Handstand,https://www.tiktok.com/@mauricioteja/video/7189463528376421637
42002,002,Handstand,https://www.tiktok.com/@maxence_plet/video/7172904696506518790
42003,003,Handstand,https://www.tiktok.com/@madamove/video/7174888610959854854
42004,004,Handstand,https://www.tiktok.com/@lucia.mikusova/video/7107354548699663622
42005,005,Handstand,https://www.tiktok.com/@lucia.mikusova/video/7107351358130375941
42006,006,Handstand,https://www.tiktok.com/@ktppp23/video/7108428419649522950
42007,007,Handstand,https://www.tiktok.com/@pipearenas.sw/video/7082893840599829765
42008,008,Handstand,https://www.tiktok.com/@jeanvillalobbos/video/7073522267627588870
42009,009,Handstand,https://www.tiktok.com/@jennifersherz/video/6858059400070974725
42010,010,Handstand,https://www.tiktok.com/@camilo_calvo19/video/7036421545023114501
42011,011,Handstand,https://www.tiktok.com/@dead_ramil/video/6987329734774508802
42012,012,Handstand,https://www.tiktok.com/@calisteniaefectiva/video/6862479916986862854
42013,013,Handstand,https://www.tiktok.com/@just_in_muss/video/6912126642966154497
