ID_global,ID_colleccion,Name_Collecion,Link
20000,000,Love,https://www.tiktok.com/@mariona.roma/video/7255670326443412763
20001,001,Love,https://www.tiktok.com/@karemsuarezv/video/7249939261879766278
20002,002,Love,https://www.tiktok.com/@rogelio_palos/video/7238368941444205830
20003,003,Love,https://www.tiktok.com/@faridieck/video/7190749349792451845
20004,004,Love,https://www.tiktok.com/@greek_pepperoni/video/7214653673459191082
20005,005,Love,https://www.tiktok.com/@jeshurunchen/video/7206499199200922922
20006,006,Love,https://www.tiktok.com/@_erickcoronel_/video/7209819834777914630
20007,007,Love,https://www.tiktok.com/@angelcoronado_/video/7201209268706512134
20008,008,Love,https://www.tiktok.com/@that_barbie713/video/7152875313465232645
20009,009,Love,https://www.tiktok.com/@dannielgalindo/video/7113437757640346885
20010,010,Love,https://www.tiktok.com/@boleles_/video/7074800463320747270
20011,011,Love,https://www.tiktok.com/@anthonyobot/video/7059488797272149253
20012,012,Love,https://www.tiktok.com/@_mamabetty_/video/7072025896235912453
20013,013,Love,https://www.tiktok.com/@carlosgaitan10/video/7044133943557278981
20014,014,Love,https://www.tiktok.com/@sonrixs_/video/7043136671537253637
20015,015,Love,https://www.tiktok.com/@humbertolrguez/video/7039859499351510277
20016,016,Love,https://www.tiktok.com/@melmendozae/video/7017236459149085957
20017,017,Love,https://www.tiktok.com/@hunterwellsgirlfriend/video/6969280520039517445
20018,018,Love,https://www.tiktok.com/@lucycamrynfilms/video/6935428152596450565
20019,019,Love,https://www.tiktok.com/@luca.chiappini/video/6846896868295740678
